Type,Sex,Speaker,Vowel,IPA,F0,F1,F2,F3
m,m,10,eu,\o/,139,357,1675,2105
m,m,10,ie,i,148,258,2280,3350
m,m,10,uu,y,156,248,1846,2117
m,m,10,ee,e,142,357,2163,2624
m,m,10,u,\yc,140,388,1570,2175
m,m,10,e,\ep,143,581,1865,2572
m,m,10,o,\ct,141,490,718,2757
m,m,10,i,\ic,149,367,2129,2731
w,f,11,oe,u,282,305,842,2366
w,f,11,aa,a,277,938,1580,2953
w,f,11,oo,o,277,606,1090,2422
w,f,11,a,\as,274,819,1327,2819
w,f,11,eu,\o/,274,579,1630,2501
w,f,11,ie,i,282,291,2540,3225
w,f,11,uu,y,286,312,2065,3737
w,f,11,ee,e,277,559,2245,2846
w,f,11,u,\yc,278,503,1826,2518
w,f,11,e,\ep,277,770,2137,2919
w,f,11,o,\ct,273,557,986,2677
w,f,11,i,\ic,278,506,2270,3040
w,f,12,oe,u,255,307,738,2529
w,f,12,aa,a,215,841,1504,2712
w,f,12,oo,o,228,524,1067,2510
w,f,12,a,\as,233,902,1183,2603
w,f,12,eu,\o/,234,443,1754,2607
w,f,12,ie,i,241,277,2439,3407
w,f,12,uu,y,245,303,1762,2460
w,f,12,ee,e,228,484,2044,2593
w,f,12,u,\yc,239,464,1655,2556
w,f,12,e,\ep,234,495,2296,3204
w,f,12,o,\ct,265,505,938,2641
w,f,12,i,\ic,262,490,2371,3198
w,f,13,oe,u,298,309,627,3029
w,f,13,aa,a,245,1028,1498,2715
w,f,13,oo,o,259,600,948,2684
w,f,13,a,\as,257,893,1136,2844
w,f,13,eu,\o/,265,536,1799,2601
w,f,13,ie,i,270,275,2664,3174
w,f,13,uu,y,280,282,1391,2520
w,f,13,ee,e,255,506,2482,2846
w,f,13,u,\yc,258,501,1746,2529
w,f,13,e,\ep,258,783,2027,2606
w,f,13,o,\ct,267,785,918,2956
w,f,13,i,\ic,260,511,2320,2882
w,f,14,oe,u,187,327,586,2463
w,f,14,aa,a,184,692,1382,2432
w,f,14,oo,o,175,540,956,2599
w,f,14,a,\as,178,596,1023,2750
w,f,14,eu,\o/,175,512,1674,2458
w,f,14,ie,i,203,271,2299,3260
w,f,14,uu,y,186,291,1737,2236
w,f,14,ee,e,182,471,2057,2729
w,f,14,u,\yc,186,397,1658,2422
w,f,14,e,\ep,196,593,2122,2779
w,f,14,o,\ct,177,520,690,2828
w,f,14,i,\ic,187,369,2263,2903
w,f,15,oe,u,263,448,830,2687
w,f,15,aa,a,239,890,1574,2965
w,f,15,oo,o,244,595,1109,2686
w,f,15,a,\as,240,806,1386,2591
w,f,15,eu,\o/,251,502,1529,2716
w,f,15,ie,i,254,374,2580,3181
w,f,15,uu,y,238,436,2134,2626
w,f,15,ee,e,242,484,2323,3025
w,f,15,u,\yc,244,482,1900,2710
w,f,15,e,\ep,246,595,1897,2865
w,f,15,o,\ct,230,570,1010,2614
w,f,15,i,\ic,252,494,2323,2989
w,f,16,oe,u,238,325,737,2290
w,f,16,aa,a,210,833,1333,2256
w,f,16,oo,o,202,577,944,2651
w,f,16,a,\as,216,674,1084,2851
w,f,16,eu,\o/,202,502,1546,2326
w,f,16,ie,i,232,337,2060,2841
w,f,16,uu,y,242,289,1669,2169
w,f,16,ee,e,214,491,1950,2674
w,f,16,u,\yc,214,427,1708,2346
w,f,16,e,\ep,188,548,2071,2727
w,f,16,o,\ct,224,462,764,2600
w,f,16,i,\ic,224,416,2217,2769
w,f,17,oe,u,277,313,578,2457
w,f,17,aa,a,263,1047,1578,2848
w,f,17,oo,o,250,608,904,2724
w,f,17,a,\as,267,890,1294,2732
w,f,17,eu,\o/,258,508,1747,2799
w,f,17,ie,i,268,268,2873,4075
w,f,17,uu,y,284,287,1982,2793
w,f,17,ee,e,248,489,2529,3111
w,f,17,u,\yc,289,549,1728,2844
w,f,17,e,\ep,261,606,2078,2980
w,f,17,o,\ct,254,549,855,2793
w,f,17,i,\ic,258,440,2590,3090
w,f,18,oe,u,330,334,729,3332
w,f,18,aa,a,261,1008,1573,2932
w,f,18,oo,o,234,521,935,2760
w,f,18,a,\as,264,964,1246,3112
w,f,18,eu,\o/,243,487,1799,2393
w,f,18,ie,i,282,296,2597,3571
w,f,18,uu,y,303,306,1781,2415
w,f,18,ee,e,250,490,2642,3494
w,f,18,u,\yc,278,509,1887,2596
w,f,18,e,\ep,275,787,2326,2992
w,f,18,o,\ct,247,629,864,3024
w,f,18,i,\ic,217,425,2636,3314
w,f,19,oe,u,228,322,661,2721
w,f,19,aa,a,220,898,1628,2770
w,f,19,oo,o,219,457,857,2582
w,f,19,a,\as,229,801,1260,2911
w,f,19,eu,\o/,225,456,1671,2381
w,f,19,ie,i,224,276,2495,3372
w,f,19,uu,y,225,283,1779,2211
w,f,19,ee,e,216,435,2363,2866
w,f,19,u,\yc,233,463,1630,2306
w,f,19,e,\ep,212,637,2130,3029
w,f,19,o,\ct,214,589,821,2729
w,f,19,i,\ic,224,440,2385,3007
w,f,20,oe,u,246,324,730,2644
w,f,20,aa,a,248,966,1695,2890
w,f,20,oo,o,233,534,954,2542
w,f,20,a,\as,234,820,1256,3064
w,f,20,eu,\o/,240,480,1917,2670
w,f,20,ie,i,243,290,2648,3176
w,f,20,uu,y,247,291,1981,2701
w,f,20,ee,e,238,469,2406,3008
w,f,20,u,\yc,237,484,1753,2718
w,f,20,e,\ep,236,693,2128,2991
w,f,20,o,\ct,230,636,923,2757
w,f,20,i,\ic,256,501,2358,3058
c,m,21,oe,u,342,353,758,3269
c,m,21,aa,a,316,1129,2249,3404
c,m,21,oo,o,334,663,1017,3075
c,m,21,a,\as,321,964,1576,3186
c,m,21,eu,\o/,311,636,2083,3328
c,m,21,ie,i,332,337,2960,3595
c,m,21,uu,y,331,357,2389,3185
c,m,21,ee,e,312,621,2839,3614
c,m,21,u,\yc,330,650,2336,3284
c,m,21,e,\ep,309,765,2755,3636
c,m,21,o,\ct,309,627,976,3256
c,m,21,i,\ic,351,586,2833,3595
c,m,22,oe,u,326,359,682,2948
c,m,22,aa,a,290,1006,2166,3263
c,m,22,oo,o,296,688,1135,2930
c,m,22,a,\as,285,746,1135,1926
c,m,22,eu,\o/,285,570,2015,3155
c,m,22,ie,i,338,346,3069,3573
c,m,22,uu,y,321,324,2025,3104
c,m,22,ee,e,306,611,2770,3648
c,m,22,u,\yc,326,632,1990,3042
c,m,22,e,\ep,331,893,2639,3566
c,m,22,o,\ct,318,631,795,3537
c,m,22,i,\ic,320,636,3025,3709
c,m,23,oe,u,312,414,828,2908
c,m,23,aa,a,300,1150,2116,3205
c,m,23,oo,o,305,659,1201,3015
c,m,23,a,\as,298,890,1303,3003
c,m,23,eu,\o/,277,534,1997,3009
c,m,23,ie,i,302,330,3010,3746
c,m,23,uu,y,304,398,2298,2940
c,m,23,ee,e,275,551,2786,3442
c,m,23,u,\yc,275,537,1968,3032
c,m,23,e,\ep,299,641,2662,3410
c,m,23,o,\ct,314,609,936,3139
c,m,23,i,\ic,312,547,2965,3673
c,m,24,oe,u,301,315,812,3357
c,m,24,aa,a,322,954,2010,3291
c,m,24,oo,o,305,604,1179,3659
c,m,24,a,\as,331,981,1701,3374
c,m,24,eu,\o/,307,613,1991,3392
c,m,24,ie,i,326,326,3235,3935
c,m,24,uu,y,322,331,2099,3096
c,m,24,ee,e,308,613,2763,3710
c,m,24,u,\yc,297,581,2085,3288
c,m,24,e,\ep,315,622,2459,3616
c,m,24,o,\ct,316,621,960,3701
c,m,24,i,\ic,307,547,2747,3618
c,m,25,oe,u,360,417,981,3610
c,m,25,aa,a,337,1122,1930,3068
c,m,25,oo,o,363,741,1302,3381
c,m,25,a,\as,340,1028,1611,2973
c,m,25,eu,\o/,323,628,1929,3197
c,m,25,ie,i,363,363,3235,4069
c,m,25,uu,y,378,384,2255,2992
c,m,25,ee,e,308,643,2603,3382
c,m,25,u,\yc,310,608,2105,3177
c,m,25,e,\ep,326,712,2351,3498
c,m,25,o,\ct,354,697,1017,3077
c,m,25,i,\ic,338,527,2698,3458
c,m,26,oe,u,375,380,798,3316
c,m,26,aa,a,376,1154,1920,3519
c,m,26,oo,o,324,656,1118,3296
c,m,26,a,\as,340,1031,1690,3163
c,m,26,eu,\o/,342,679,2035,3683
c,m,26,ie,i,349,361,3082,3782
c,m,26,uu,y,371,374,2042,3206
c,m,26,ee,e,324,646,2820,3970
c,m,26,u,\yc,362,604,2162,3603
c,m,26,e,\ep,353,706,2785,3942
c,m,26,o,\ct,371,456,759,3321
c,m,26,i,\ic,357,499,2899,3934
c,m,27,oe,u,312,339,850,4356
c,m,27,aa,a,296,914,2090,3113
c,m,27,oo,o,288,576,1156,3681
c,m,27,a,\as,301,865,1567,3326
c,m,27,eu,\o/,287,580,2146,3340
c,m,27,ie,i,291,313,3090,4039
c,m,27,uu,y,303,330,2431,3032
c,m,27,ee,e,291,577,2589,2778
c,m,27,u,\yc,297,589,2150,3208
c,m,27,e,\ep,307,616,2448,3856
c,m,27,o,\ct,319,619,919,3570
c,m,27,i,\ic,305,539,3015,3905
c,m,28,oe,u,353,354,1085,3082
c,m,28,aa,a,297,1192,1792,2922
c,m,28,oo,o,281,822,1180,2931
c,m,28,a,\as,324,993,1424,2941
c,m,28,eu,\o/,275,608,1817,2909
c,m,28,ie,i,321,323,3169,3625
c,m,28,uu,y,355,358,2138,3160
c,m,28,ee,e,303,608,2707,3369
c,m,28,u,\yc,314,444,2170,3044
c,m,28,e,\ep,313,718,2479,3627
c,m,28,o,\ct,343,617,990,3027
c,m,28,i,\ic,315,499,2831,3465
c,m,29,oe,u,361,363,1050,3239
c,m,29,aa,a,356,1163,1707,3188
c,m,29,oo,o,327,830,1289,3145
c,m,29,a,\as,325,963,1293,3046
c,m,29,eu,\o/,336,673,2339,3167
c,m,29,ie,i,341,346,2729,3370
c,m,29,uu,y,342,345,2344,3103
c,m,29,ee,e,331,677,2561,3320
c,m,29,u,\yc,377,580,2191,3234
c,m,29,e,\ep,354,897,2463,3338
c,m,29,o,\ct,365,666,1094,3269
c,m,29,i,\ic,326,541,2568,3297
c,m,30,oe,u,332,352,979,2988
c,m,30,aa,a,347,1060,2079,2706
c,m,30,oo,o,304,753,1174,3005
c,m,30,a,\as,290,884,1432,2806
c,m,30,eu,\o/,299,644,1775,3005
c,m,30,ie,i,315,326,2807,3612
c,m,30,uu,y,296,329,2082,2791
c,m,30,ee,e,281,569,2415,3239
c,m,30,u,\yc,303,592,2069,2889
c,m,30,e,\ep,280,709,2460,3314
c,m,30,o,\ct,286,596,973,2690
c,m,30,i,\ic,298,561,2612,3330
